what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1586736030183
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1586736030184
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1586736030187
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1586736030187
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1586736030188
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1586736030190
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1586736030191
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1586736030192
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1586736030193
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1586736030194
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1586736030195
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1586736030197
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1586736030198
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1586736030198
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1586736030199
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1586736030199
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1586736030199
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1586736030200
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1586736030200
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1586736030201
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1586736030201
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1586736030202
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1586736030202
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1586736030202
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1586736030203
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1586736030203
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1586736030204
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1586736030238
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1586736030240
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1586736030242
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1586736030243
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1586736030244
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1586736030245
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1586736030246
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1586736030246
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1586736030247
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1586736030249
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1586736030249
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1586736030251
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586736030252
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1586736030253
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586736030254
os,sysinfo,,,"win32",1586736030259
arch,sysinfo,,,"x86_64",1586736030259
ws,sysinfo,,,"win32",1586736030259
locale,sysinfo,,,"de_DE",1586736030259
processors,sysinfo,,,"4",1586736030259
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586736030259
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1586736030259
java.specification.name,sysinfo,,,"Java Platform API Specification",1586736030259
java.specification.vendor,sysinfo,,,"Oracle Corporation",1586736030259
java.specification.version,sysinfo,,,"1.7",1586736030259
java.vendor,sysinfo,,,"Oracle Corporation",1586736030259
java.version,sysinfo,,,"1.7.0_80",1586736030259
java.vm.info,sysinfo,,,"mixed mode",1586736030259
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1586736030259
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586736030259
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1586736030259
java.vm.specification.version,sysinfo,,,"1.7",1586736030259
java.vm.vendor,sysinfo,,,"Oracle Corporation",1586736030259
java.vm.version,sysinfo,,,"24.80-b11",1586736030259
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1586736044449
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1586736044470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736045574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736051261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736055921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736070202
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736076453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736095626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736159012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736188122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736196679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736591027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736591145
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736592340
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586736592552
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1586736593032
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1586736593167
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1586736593169
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1586736593171
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1586736593171
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1586736593172
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1586736593173
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1586736593175
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1586736593177
